code,predicted_pm2.5,geometry
114,6.626262, -0.1525258741811697 51.46596138630835_ -0.1525258741811697 51.467024220933524_ -0.1542328595073983 51.467024220933524_ -0.1542328595073983 51.46596138630835_ -0.1525258741811697 51.46596138630835
115,7.03415, -0.1525258741811697 51.467024220933524_ -0.1525258741811697 51.468087055558705_ -0.1542328595073983 51.468087055558705_ -0.1542328595073983 51.467024220933524_ -0.1525258741811697 51.467024220933524
116,6.656325, -0.1525258741811697 51.468087055558705_ -0.1525258741811697 51.46914989018388_ -0.1542328595073983 51.46914989018388_ -0.1542328595073983 51.468087055558705_ -0.1525258741811697 51.468087055558705
117,6.3109093, -0.1525258741811697 51.46914989018388_ -0.1525258741811697 51.47021272480905_ -0.1542328595073983 51.47021272480905_ -0.1542328595073983 51.46914989018388_ -0.1525258741811697 51.46914989018388
118,6.2208033, -0.1525258741811697 51.47021272480905_ -0.1525258741811697 51.47127555943423_ -0.1542328595073983 51.47127555943423_ -0.1542328595073983 51.47021272480905_ -0.1525258741811697 51.47021272480905
119,6.1475277, -0.1525258741811697 51.47127555943423_ -0.1525258741811697 51.472338394059406_ -0.1542328595073983 51.472338394059406_ -0.1542328595073983 51.47127555943423_ -0.1525258741811697 51.47127555943423
120,5.937835, -0.1525258741811697 51.472338394059406_ -0.1525258741811697 51.47340122868459_ -0.1542328595073983 51.47340122868459_ -0.1542328595073983 51.472338394059406_ -0.1525258741811697 51.472338394059406
121,6.0525794, -0.1525258741811697 51.47340122868459_ -0.1525258741811697 51.47446406330976_ -0.1542328595073983 51.47446406330976_ -0.1542328595073983 51.47340122868459_ -0.1525258741811697 51.47340122868459
122,5.8683996, -0.1525258741811697 51.47446406330976_ -0.1525258741811697 51.47552689793494_ -0.1542328595073983 51.47552689793494_ -0.1542328595073983 51.47446406330976_ -0.1525258741811697 51.47446406330976
123,5.1518693, -0.1525258741811697 51.47552689793494_ -0.1525258741811697 51.476589732560114_ -0.1542328595073983 51.476589732560114_ -0.1542328595073983 51.47552689793494_ -0.1525258741811697 51.47552689793494
124,5.8575163, -0.1525258741811697 51.476589732560114_ -0.1525258741811697 51.477652567185295_ -0.1542328595073983 51.477652567185295_ -0.1542328595073983 51.476589732560114_ -0.1525258741811697 51.476589732560114
125,5.2951136, -0.1525258741811697 51.477652567185295_ -0.1525258741811697 51.47871540181047_ -0.1542328595073983 51.47871540181047_ -0.1542328595073983 51.477652567185295_ -0.1525258741811697 51.477652567185295
126,5.252964, -0.1525258741811697 51.47871540181047_ -0.1525258741811697 51.47977823643564_ -0.1542328595073983 51.47977823643564_ -0.1542328595073983 51.47871540181047_ -0.1525258741811697 51.47871540181047
127,5.2172766, -0.1525258741811697 51.47977823643564_ -0.1525258741811697 51.48084107106082_ -0.1542328595073983 51.48084107106082_ -0.1542328595073983 51.47977823643564_ -0.1525258741811697 51.47977823643564
128,5.568615, -0.1525258741811697 51.48084107106082_ -0.1525258741811697 51.481903905685996_ -0.1542328595073983 51.481903905685996_ -0.1542328595073983 51.48084107106082_ -0.1525258741811697 51.48084107106082
129,5.647506, -0.1525258741811697 51.481903905685996_ -0.1525258741811697 51.48296674031118_ -0.1542328595073983 51.48296674031118_ -0.1542328595073983 51.481903905685996_ -0.1525258741811697 51.481903905685996
130,5.7620525, -0.1525258741811697 51.48296674031118_ -0.1525258741811697 51.48402957493635_ -0.1542328595073983 51.48402957493635_ -0.1542328595073983 51.48296674031118_ -0.1525258741811697 51.48296674031118
131,5.926676, -0.1525258741811697 51.48402957493635_ -0.1525258741811697 51.48509240956153_ -0.1542328595073983 51.48509240956153_ -0.1542328595073983 51.48402957493635_ -0.1525258741811697 51.48402957493635
132,5.7109427, -0.1525258741811697 51.48509240956153_ -0.1525258741811697 51.486155244186705_ -0.1542328595073983 51.486155244186705_ -0.1542328595073983 51.48509240956153_ -0.1525258741811697 51.48509240956153
133,5.756884, -0.1525258741811697 51.486155244186705_ -0.1525258741811697 51.48721807881188_ -0.1542328595073983 51.48721807881188_ -0.1542328595073983 51.486155244186705_ -0.1525258741811697 51.486155244186705
134,5.7262273, -0.1525258741811697 51.48721807881188_ -0.1525258741811697 51.48828091343706_ -0.1542328595073983 51.48828091343706_ -0.1542328595073983 51.48721807881188_ -0.1525258741811697 51.48721807881188
135,5.894862, -0.1525258741811697 51.48828091343706_ -0.1525258741811697 51.48934374806223_ -0.1542328595073983 51.48934374806223_ -0.1542328595073983 51.48828091343706_ -0.1525258741811697 51.48828091343706
136,6.1897645, -0.1525258741811697 51.48934374806223_ -0.1525258741811697 51.49040658268741_ -0.1542328595073983 51.49040658268741_ -0.1542328595073983 51.48934374806223_ -0.1525258741811697 51.48934374806223
137,7.166733, -0.1525258741811697 51.49040658268741_ -0.1525258741811697 51.49146941731259_ -0.1542328595073983 51.49146941731259_ -0.1542328595073983 51.49040658268741_ -0.1525258741811697 51.49040658268741
138,6.740943, -0.1525258741811697 51.49146941731259_ -0.1525258741811697 51.49253225193777_ -0.1542328595073983 51.49253225193777_ -0.1542328595073983 51.49146941731259_ -0.1525258741811697 51.49146941731259
139,6.73534, -0.1525258741811697 51.49253225193777_ -0.1525258741811697 51.49359508656294_ -0.1542328595073983 51.49359508656294_ -0.1542328595073983 51.49253225193777_ -0.1525258741811697 51.49253225193777
