source,target,length
21539667_,1938018127_,68.412
21539667_,86110240_,58.775
21539667_,7637228289_,95.60399999999998
21539669_,7627888285_,109.144
21539669_,282218843_,33.752
21539669_,1937962759_,41.92
21618654_,356778726_,87.929
21618654_,7761762801_,73.114
25291703_,304884708_,29.631
25291703_,1691189781_,24.052
25291708_,25291709_,28.225
25291708_,1691189781_,62.337
25291708_,3764277424_,33.73
25291709_,3764277424_,19.803
25291709_,1176800580_,108.424
25291778_,5898995362_,113.846
25291778_,1360237602_,66.895
25291778_,300425806_,49.887
25291778_,7903595311_,38.347
25291780_,300425819_,16.563
25291780_,300425785_,52.166
25291782_,26389148_,130.914
25291782_,7932553674_,20.626
25291782_,27089795_,34.971000000000004
25291782_,26389209_,83.559
25291785_,7932553638_,47.935
25291785_,7932564786_,80.224
25291785_,5146303884_,85.60799999999999
25321716_,25321720_,38.449999999999996
25321719_,25321720_,69.40299999999999
25321720_,25321727_,60.04500000000001
25321727_,1126719655_,7.205
25321727_,1286466899_,49.97
25321731_,766490939_,251.598
25321731_,1286466899_,32.701
25321736_,7851393487_,24.904
25321736_,766490939_,70.337
25321736_,1131453703_,66.814
25321743_,1019991259_,35.249
25321743_,4210765395_,89.14500000000001
25321881_,25321884_,35.416
25321881_,25321888_,13.367
25321884_,25321886_,123.068
25321886_,25321887_,53.759
25321887_,25321896_,140.682
25321887_,25321890_,108.47399999999999
25321888_,774500564_,31.123
25321889_,25321890_,7.915
25321889_,9083975855_,113.111
25321890_,25321891_,36.288
25321891_,25322137_,162.793
25321896_,8754926201_,5.27
25321896_,8332071466_,70.841
25321919_,776893991_,46.757
25321919_,25321920_,82.47
25321920_,778718357_,44.284000000000006
25321969_,25321975_,52.104
25321969_,776893991_,29.813
25321969_,25321978_,107.189
25321975_,776736265_,193.3
25321978_,25322137_,53.626
25321978_,25321980_,90.44200000000001
25321980_,776736207_,14.132
25321980_,25321990_,27.282
25321990_,1115962840_,12.853
25321990_,9083975855_,106.677
25322137_,774500564_,193.668
25322172_,25322377_,59.506
25322172_,25322174_,191.218
25322174_,776736265_,51.711
25322174_,25322177_,50.589
25322177_,25322197_,53.294
