code,predicted_pm2.5,geometry
108,3.897582, -0.1299185210924281 51.51029550248287_ -0.1299185210924281 51.511869315293225_ -0.1324465476984043 51.511869315293225_ -0.1324465476984043 51.51029550248287_ -0.1299185210924281 51.51029550248287
109,3.864137, -0.1299185210924281 51.511869315293225_ -0.1299185210924281 51.51344312810358_ -0.1324465476984043 51.51344312810358_ -0.1324465476984043 51.511869315293225_ -0.1299185210924281 51.511869315293225
110,3.8940008, -0.1299185210924281 51.51344312810358_ -0.1299185210924281 51.51501694091394_ -0.1324465476984043 51.51501694091394_ -0.1324465476984043 51.51344312810358_ -0.1299185210924281 51.51344312810358
111,3.9244893, -0.1299185210924281 51.51501694091394_ -0.1299185210924281 51.516590753724294_ -0.1324465476984043 51.516590753724294_ -0.1324465476984043 51.51501694091394_ -0.1299185210924281 51.51501694091394
112,3.946029, -0.1299185210924281 51.516590753724294_ -0.1299185210924281 51.51816456653466_ -0.1324465476984043 51.51816456653466_ -0.1324465476984043 51.516590753724294_ -0.1299185210924281 51.516590753724294
113,3.9684777, -0.1299185210924281 51.51816456653466_ -0.1299185210924281 51.519738379345014_ -0.1324465476984043 51.519738379345014_ -0.1324465476984043 51.51816456653466_ -0.1299185210924281 51.51816456653466
114,3.9773118, -0.1299185210924281 51.519738379345014_ -0.1299185210924281 51.52131219215537_ -0.1324465476984043 51.52131219215537_ -0.1324465476984043 51.519738379345014_ -0.1299185210924281 51.519738379345014
115,3.9751165, -0.1299185210924281 51.52131219215537_ -0.1299185210924281 51.52288600496573_ -0.1324465476984043 51.52288600496573_ -0.1324465476984043 51.52131219215537_ -0.1299185210924281 51.52131219215537
116,3.9766004, -0.1299185210924281 51.52288600496573_ -0.1299185210924281 51.52445981777608_ -0.1324465476984043 51.52445981777608_ -0.1324465476984043 51.52288600496573_ -0.1299185210924281 51.52288600496573
117,3.9179695, -0.1299185210924281 51.52445981777608_ -0.1299185210924281 51.52603363058645_ -0.1324465476984043 51.52603363058645_ -0.1324465476984043 51.52445981777608_ -0.1299185210924281 51.52445981777608
118,3.8673038, -0.1299185210924281 51.52603363058645_ -0.1299185210924281 51.5276074433968_ -0.1324465476984043 51.5276074433968_ -0.1324465476984043 51.52603363058645_ -0.1299185210924281 51.52603363058645
119,3.844587, -0.1299185210924281 51.5276074433968_ -0.1299185210924281 51.52918125620716_ -0.1324465476984043 51.52918125620716_ -0.1324465476984043 51.5276074433968_ -0.1299185210924281 51.5276074433968
120,4.9842935, -0.1324465476984043 51.46622874379285_ -0.1324465476984043 51.4678025566032_ -0.1349745743043806 51.4678025566032_ -0.1349745743043806 51.46622874379285_ -0.1324465476984043 51.46622874379285
121,4.853413, -0.1324465476984043 51.4678025566032_ -0.1324465476984043 51.46937636941356_ -0.1349745743043806 51.46937636941356_ -0.1349745743043806 51.4678025566032_ -0.1324465476984043 51.4678025566032
122,4.827268, -0.1324465476984043 51.46937636941356_ -0.1324465476984043 51.47095018222392_ -0.1349745743043806 51.47095018222392_ -0.1349745743043806 51.46937636941356_ -0.1324465476984043 51.46937636941356
123,4.8951297, -0.1324465476984043 51.47095018222392_ -0.1324465476984043 51.47252399503428_ -0.1349745743043806 51.47252399503428_ -0.1349745743043806 51.47095018222392_ -0.1324465476984043 51.47095018222392
124,4.8740706, -0.1324465476984043 51.47252399503428_ -0.1324465476984043 51.474097807844636_ -0.1349745743043806 51.474097807844636_ -0.1349745743043806 51.47252399503428_ -0.1324465476984043 51.47252399503428
125,4.8618274, -0.1324465476984043 51.474097807844636_ -0.1324465476984043 51.47567162065499_ -0.1349745743043806 51.47567162065499_ -0.1349745743043806 51.474097807844636_ -0.1324465476984043 51.474097807844636
126,4.7742896, -0.1324465476984043 51.47567162065499_ -0.1324465476984043 51.47724543346535_ -0.1349745743043806 51.47724543346535_ -0.1349745743043806 51.47567162065499_ -0.1324465476984043 51.47567162065499
127,4.763989, -0.1324465476984043 51.47724543346535_ -0.1324465476984043 51.47881924627571_ -0.1349745743043806 51.47881924627571_ -0.1349745743043806 51.47724543346535_ -0.1324465476984043 51.47724543346535
128,4.918761, -0.1324465476984043 51.47881924627571_ -0.1324465476984043 51.48039305908607_ -0.1349745743043806 51.48039305908607_ -0.1349745743043806 51.47881924627571_ -0.1324465476984043 51.47881924627571
129,4.920874, -0.1324465476984043 51.48039305908607_ -0.1324465476984043 51.481966871896425_ -0.1349745743043806 51.481966871896425_ -0.1349745743043806 51.48039305908607_ -0.1324465476984043 51.48039305908607
130,4.9281106, -0.1324465476984043 51.481966871896425_ -0.1324465476984043 51.48354068470678_ -0.1349745743043806 51.48354068470678_ -0.1349745743043806 51.481966871896425_ -0.1324465476984043 51.481966871896425
131,4.866443, -0.1324465476984043 51.48354068470678_ -0.1324465476984043 51.48511449751714_ -0.1349745743043806 51.48511449751714_ -0.1349745743043806 51.48354068470678_ -0.1324465476984043 51.48354068470678
132,4.8037167, -0.1324465476984043 51.48511449751714_ -0.1324465476984043 51.4866883103275_ -0.1349745743043806 51.4866883103275_ -0.1349745743043806 51.48511449751714_ -0.1324465476984043 51.48511449751714
133,3.8026094, -0.1324465476984043 51.4866883103275_ -0.1324465476984043 51.48826212313786_ -0.1349745743043806 51.48826212313786_ -0.1349745743043806 51.4866883103275_ -0.1324465476984043 51.4866883103275
134,3.8050542, -0.1324465476984043 51.48826212313786_ -0.1324465476984043 51.489835935948214_ -0.1349745743043806 51.489835935948214_ -0.1349745743043806 51.48826212313786_ -0.1324465476984043 51.48826212313786
135,3.79401, -0.1324465476984043 51.489835935948214_ -0.1324465476984043 51.49140974875857_ -0.1349745743043806 51.49140974875857_ -0.1349745743043806 51.489835935948214_ -0.1324465476984043 51.489835935948214
136,3.7800229, -0.1324465476984043 51.49140974875857_ -0.1324465476984043 51.49298356156893_ -0.1349745743043806 51.49298356156893_ -0.1349745743043806 51.49140974875857_ -0.1324465476984043 51.49140974875857
