code,predicted_pm2.5,geometry
75,5, -0.1551987871521903 51.50669821605919_ -0.1551987871521903 51.50849685927103_ -0.1580879604161631 51.50849685927103_ -0.1580879604161631 51.50669821605919_ -0.1551987871521903 51.50669821605919
76,5, -0.1551987871521903 51.50849685927103_ -0.1551987871521903 51.51029550248287_ -0.1580879604161631 51.51029550248287_ -0.1580879604161631 51.50849685927103_ -0.1551987871521903 51.50849685927103
77,5, -0.1551987871521903 51.51029550248287_ -0.1551987871521903 51.512094145694704_ -0.1580879604161631 51.512094145694704_ -0.1580879604161631 51.51029550248287_ -0.1551987871521903 51.51029550248287
78,5, -0.1551987871521903 51.512094145694704_ -0.1551987871521903 51.513892788906546_ -0.1580879604161631 51.513892788906546_ -0.1580879604161631 51.512094145694704_ -0.1551987871521903 51.512094145694704
79,5, -0.1551987871521903 51.513892788906546_ -0.1551987871521903 51.51569143211838_ -0.1580879604161631 51.51569143211838_ -0.1580879604161631 51.513892788906546_ -0.1551987871521903 51.513892788906546
80,5, -0.1580879604161631 51.479718567881626_ -0.1580879604161631 51.48151721109346_ -0.1609771336801359 51.48151721109346_ -0.1609771336801359 51.479718567881626_ -0.1580879604161631 51.479718567881626
81,5, -0.1580879604161631 51.48151721109346_ -0.1580879604161631 51.4833158543053_ -0.1609771336801359 51.4833158543053_ -0.1609771336801359 51.48151721109346_ -0.1580879604161631 51.48151721109346
82,15, -0.1580879604161631 51.4833158543053_ -0.1580879604161631 51.48511449751714_ -0.1609771336801359 51.48511449751714_ -0.1609771336801359 51.4833158543053_ -0.1580879604161631 51.4833158543053
83,15, -0.1580879604161631 51.48511449751714_ -0.1580879604161631 51.48691314072898_ -0.1609771336801359 51.48691314072898_ -0.1609771336801359 51.48511449751714_ -0.1580879604161631 51.48511449751714
84,15, -0.1580879604161631 51.48691314072898_ -0.1580879604161631 51.488711783940815_ -0.1609771336801359 51.488711783940815_ -0.1609771336801359 51.48691314072898_ -0.1580879604161631 51.48691314072898
85,15, -0.1580879604161631 51.488711783940815_ -0.1580879604161631 51.49051042715265_ -0.1609771336801359 51.49051042715265_ -0.1609771336801359 51.488711783940815_ -0.1580879604161631 51.488711783940815
86,15, -0.1580879604161631 51.49051042715265_ -0.1580879604161631 51.49230907036449_ -0.1609771336801359 51.49230907036449_ -0.1609771336801359 51.49051042715265_ -0.1580879604161631 51.49051042715265
87,15, -0.1580879604161631 51.49230907036449_ -0.1580879604161631 51.49410771357633_ -0.1609771336801359 51.49410771357633_ -0.1609771336801359 51.49230907036449_ -0.1580879604161631 51.49230907036449
