code,predicted_pm2.5,geometry
115,5.453099, -0.1299185210924281 51.52131219215537_ -0.1299185210924281 51.52288600496573_ -0.1324465476984043 51.52288600496573_ -0.1324465476984043 51.52131219215537_ -0.1299185210924281 51.52131219215537
116,5.453111, -0.1299185210924281 51.52288600496573_ -0.1299185210924281 51.52445981777608_ -0.1324465476984043 51.52445981777608_ -0.1324465476984043 51.52288600496573_ -0.1299185210924281 51.52288600496573
117,5.397163, -0.1299185210924281 51.52445981777608_ -0.1299185210924281 51.52603363058645_ -0.1324465476984043 51.52603363058645_ -0.1324465476984043 51.52445981777608_ -0.1299185210924281 51.52445981777608
118,5.3104916, -0.1299185210924281 51.52603363058645_ -0.1299185210924281 51.5276074433968_ -0.1324465476984043 51.5276074433968_ -0.1324465476984043 51.52603363058645_ -0.1299185210924281 51.52603363058645
119,5.264417, -0.1299185210924281 51.5276074433968_ -0.1299185210924281 51.52918125620716_ -0.1324465476984043 51.52918125620716_ -0.1324465476984043 51.5276074433968_ -0.1299185210924281 51.5276074433968
120,5.910666, -0.1324465476984043 51.46622874379285_ -0.1324465476984043 51.4678025566032_ -0.1349745743043806 51.4678025566032_ -0.1349745743043806 51.46622874379285_ -0.1324465476984043 51.46622874379285
121,5.8375134, -0.1324465476984043 51.4678025566032_ -0.1324465476984043 51.46937636941356_ -0.1349745743043806 51.46937636941356_ -0.1349745743043806 51.4678025566032_ -0.1324465476984043 51.4678025566032
122,5.769032, -0.1324465476984043 51.46937636941356_ -0.1324465476984043 51.47095018222392_ -0.1349745743043806 51.47095018222392_ -0.1349745743043806 51.46937636941356_ -0.1324465476984043 51.46937636941356
123,5.751162, -0.1324465476984043 51.47095018222392_ -0.1324465476984043 51.47252399503428_ -0.1349745743043806 51.47252399503428_ -0.1349745743043806 51.47095018222392_ -0.1324465476984043 51.47095018222392
124,5.787784, -0.1324465476984043 51.47252399503428_ -0.1324465476984043 51.474097807844636_ -0.1349745743043806 51.474097807844636_ -0.1349745743043806 51.47252399503428_ -0.1324465476984043 51.47252399503428
125,5.752734, -0.1324465476984043 51.474097807844636_ -0.1324465476984043 51.47567162065499_ -0.1349745743043806 51.47567162065499_ -0.1349745743043806 51.474097807844636_ -0.1324465476984043 51.474097807844636
126,5.6826696, -0.1324465476984043 51.47567162065499_ -0.1324465476984043 51.47724543346535_ -0.1349745743043806 51.47724543346535_ -0.1349745743043806 51.47567162065499_ -0.1324465476984043 51.47567162065499
127,5.6264358, -0.1324465476984043 51.47724543346535_ -0.1324465476984043 51.47881924627571_ -0.1349745743043806 51.47881924627571_ -0.1349745743043806 51.47724543346535_ -0.1324465476984043 51.47724543346535
128,5.7535796, -0.1324465476984043 51.47881924627571_ -0.1324465476984043 51.48039305908607_ -0.1349745743043806 51.48039305908607_ -0.1349745743043806 51.47881924627571_ -0.1324465476984043 51.47881924627571
129,5.746816, -0.1324465476984043 51.48039305908607_ -0.1324465476984043 51.481966871896425_ -0.1349745743043806 51.481966871896425_ -0.1349745743043806 51.48039305908607_ -0.1324465476984043 51.48039305908607
130,5.731234, -0.1324465476984043 51.481966871896425_ -0.1324465476984043 51.48354068470678_ -0.1349745743043806 51.48354068470678_ -0.1349745743043806 51.481966871896425_ -0.1324465476984043 51.481966871896425
131,5.644207, -0.1324465476984043 51.48354068470678_ -0.1324465476984043 51.48511449751714_ -0.1349745743043806 51.48511449751714_ -0.1349745743043806 51.48354068470678_ -0.1324465476984043 51.48354068470678
132,5.5875497, -0.1324465476984043 51.48511449751714_ -0.1324465476984043 51.4866883103275_ -0.1349745743043806 51.4866883103275_ -0.1349745743043806 51.48511449751714_ -0.1324465476984043 51.48511449751714
133,5.108269, -0.1324465476984043 51.4866883103275_ -0.1324465476984043 51.48826212313786_ -0.1349745743043806 51.48826212313786_ -0.1349745743043806 51.4866883103275_ -0.1324465476984043 51.4866883103275
134,5.151318, -0.1324465476984043 51.48826212313786_ -0.1324465476984043 51.489835935948214_ -0.1349745743043806 51.489835935948214_ -0.1349745743043806 51.48826212313786_ -0.1324465476984043 51.48826212313786
135,5.1760187, -0.1324465476984043 51.489835935948214_ -0.1324465476984043 51.49140974875857_ -0.1349745743043806 51.49140974875857_ -0.1349745743043806 51.489835935948214_ -0.1324465476984043 51.489835935948214
136,5.1990533, -0.1324465476984043 51.49140974875857_ -0.1324465476984043 51.49298356156893_ -0.1349745743043806 51.49298356156893_ -0.1349745743043806 51.49140974875857_ -0.1324465476984043 51.49140974875857
